dRFl	dRFd	dJ	dth
0.9309354239	0.9303594974	0.9135154644	99.1013399266
0.9307587629	0.9302003671	0.9133204132	99.0993272522
0.9305926986	0.93004217	0.9131253828	99.0972956112
0.9304947229	0.9298950221	0.9129358406	99.0952450039
0.9302458972	0.9296485754	0.9127299179	99.0932893519
0.9300325131	0.9294550272	0.9125294845	99.0913527059
0.9297529434	0.9291571588	0.9123144986	99.0894540516
0.929577774	0.9289765304	0.9121232189	99.0874794705
0.9294559467	0.9288253307	0.9119465307	99.0855808534
0.9292835632	0.9286065956	0.9117516471	99.0836252968
0.9291190093	0.9284347504	0.9115658895	99.0816697595
0.9289783687	0.9282872703	0.9113874345	99.0797522125
0.9287858095	0.9281007545	0.911201714	99.0777967134
0.9286456536	0.9279243628	0.9110196536	99.0758222484
0.92847794	0.9277773825	0.9108321503	99.0738857731
0.9282739471	0.9276363842	0.9106428462	99.0719493167
0.9281012139	0.9274779461	0.9104517418	99.0699369408
0.9279565163	0.9273273277	0.9102624773	99.0678866166
0.9277420171	0.9271413675	0.9100550368	99.065874282
0.9275688741	0.9269540488	0.9098512586	99.0637670479
0.9273888593	0.9267731756	0.9096511416	99.0617547552
0.9272511047	0.926594156	0.9094565034	99.0597234993
0.9271060143	0.9263752249	0.9092655235	99.0577112476
0.9269861854	0.9262370866	0.909081838	99.0556990163
0.9268778412	0.926082898	0.9088963527	99.0536868055
0.9266538273	0.9258732037	0.9086945225	99.051693598
0.9264683937	0.9256750025	0.9084872608	99.0496434626
0.9262825197	0.9254814097	0.9082818405	99.0476123309
0.9260741794	0.9253378338	0.9080818961	99.0456002022
0.9258484274	0.9252112394	0.9078819737	99.043588094
0.9257172102	0.9251029989	0.9076966108	99.0415949881
0.925573616	0.9249842168	0.9075185349	99.0396398656
0.925412602	0.9248503095	0.9073332091	99.0376657809
0.9252754529	0.9246714758	0.9071479023	99.0356537532
0.9250612638	0.9244257222	0.9069626144	99.0337176705
0.9248383867	0.924181835	0.906768264	99.0317816066
0.9246517593	0.9240048994	0.906584831	99.0298455617
0.9245352986	0.9238806878	0.9064123118	99.0278336135
0.9244802804	0.9237624425	0.9062398091	99.0258216858
0.9243482433	0.923606627	0.9060419052	99.0237718182
0.9241928367	0.9234283718	0.9058603609	99.0218358515
0.923991607	0.9232386794	0.9056715742	99.0198239847
0.923848605	0.9230806174	0.9054955121	99.0179070363
0.9236561199	0.9228868381	0.9052976894	99.0159331682
0.9234650295	0.9226706355	0.9051089613	99.0139593198
0.9232258507	0.9224182785	0.9049021089	99.011966512
0.9230219775	0.9222415117	0.9046989086	99.0099167878
0.922832785	0.9220734617	0.9045066149	99.007905042
0.9226527724	0.9218912339	0.9043179693	99.0059312736
0.9225112481	0.9217209268	0.9041384115	99.0039954814
0.9223243977	0.9215254593	0.9039443641	99.0020597081
0.9221187925	0.9212929394	0.9037430845	99.0001239538
0.9219150416	0.9210755507	0.9035490794	98.9981502629
0.9217479368	0.9208870154	0.9033550952	98.9961386367
0.9215977844	0.920730985	0.9031738203	98.9942029403
0.9214256735	0.9205722227	0.9029853138	98.9922293084
0.9212009465	0.920431773	0.9027732674	98.9901797885
0.9210160593	0.9203064296	0.9025721183	98.9881492666
0.9208970823	0.9201408429	0.9023891102	98.9860808124
0.9207634712	0.9199908215	0.902209744	98.9840693088
0.9206554911	0.9198687094	0.9020267726	98.9820578257
0.920555295	0.9197049913	0.9018365744	98.9800843149
0.9204336029	0.9195225405	0.9016536409	98.9780918481
0.9202030505	0.919347423	0.901441751	98.9760424745
0.9199492018	0.9191165496	0.9012371288	98.9740690237
0.9197667268	0.9189611263	0.9010415824	98.9720766174
0.9195609497	0.9187668658	0.9008351953	98.9700273061
0.9194470962	0.9186306671	0.9006523634	98.9680349405
0.9192276395	0.918358757	0.9004478308	98.9660425949
0.9190562072	0.9181353181	0.9002650382	98.9641071927
0.9188966753	0.9179452565	0.9000768355	98.9620769382
0.9187001363	0.9177593259	0.8998777963	98.9601415748
0.9185991326	0.9176268561	0.8996968707	98.9581493086
0.9184428392	0.9174487222	0.8995123453	98.9561760362
0.9182797049	0.9172304175	0.8993242213	98.9541648366
0.9180795769	0.9170171617	0.8991288825	98.9521916039
0.9178625676	0.9168025609	0.8989353734	98.9502563371
0.9176661393	0.9166167461	0.8987364605	98.9482072518
0.9174797802	0.9164263853	0.8985448016	98.9461961331
0.9172505114	0.91623148	0.898354971	98.9442609249
0.9170495823	0.9160886234	0.8981723909	98.9423257357
0.9168829191	0.9159576434	0.8979916368	98.9403905654
0.9167386421	0.9158202841	0.8978109009	98.9384364421
0.9165829636	0.9157559433	0.8976265691	98.936482338
0.9164186252	0.9156345688	0.8974350286	98.9344903101
0.9162552144	0.9154424851	0.8972435085	98.9325172736
0.9161150944	0.9152951282	0.8970610414	98.930563228
0.9159517107	0.9151318176	0.8968713676	98.9285522886
0.9157924484	0.9149388744	0.8966799077	98.9264844571
0.9155852913	0.9147263412	0.8964866623	98.9244735592
0.9154210424	0.9145425609	0.8962988549	98.9224057704
0.9151956803	0.9143565193	0.8960984284	98.9203949139
0.9150091162	0.9141887333	0.8958998296	98.9184030479
0.9148663549	0.9140578891	0.8957193044	98.9164491417
0.9147131157	0.9138978799	0.8955369924	98.9145142245
0.9145297928	0.9136854676	0.8953510893	98.9124844787
0.9143045405	0.9134343424	0.895145355	98.9104547538
0.9140697422	0.9131577346	0.8949522751	98.9085198952
